,id,gericht,urteilsdatum,fall_nr,url_link,verfahrensart,geschlecht,nationalitaet,hauptdelikt,mehrfach,gewerbsmaessig,bandenmaessig,deliktssumme,nebenverurteilungsscore,vorbestraft,vorbestraft_einschlaegig,freiheitsstrafe_in_monaten,vollzug
0,184,Bezirksgericht Zürich,2009-06-17,SB110042,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB110042-O1.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,True,False,False,1500000,0,False,False,24,0
1,181,Bezirksgericht Zürich,2010-10-03,SB110028,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB110028-O1.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,False,False,False,2900000,0,False,False,36,1
2,165,Bezirksgericht Zürich,2010-10-07,SB110334,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB110334-O1.pdf,0,männlich,unbekannt,Veruntreuung,True,False,False,63432,0,True,True,26,2
3,185,Bezirksgericht Zürich,2010-12-08,SB110254,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB110254-O1.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,True,False,False,120000,6,False,False,9,0
4,189,Bezirksgericht Meilen,2011-03-15,SB110305,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB110305-O2.pdf,0,männlich,unbekannt,Betrug,False,True,False,13700000,6,True,True,36,1
5,182,Bezirksgericht Zürich,2011-06-22,SB110525,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB110525-O1.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,False,False,False,17575,2,True,False,8,0
6,180,Bezirksgericht Bülach,2011-07-25,SB110685,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB110685-O1.pdf,0,männlich,unbekannt,Diebstahl,False,False,False,25700,4,True,True,10,2
7,160,Bezirksgericht Zürich,2011-12-05,SB120055,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB120055-O1.pdf,0,männlich,unbekannt,Veruntreuung,True,False,False,8131,1,False,False,7,0
8,115,Bezirksgericht Dietikon,2012-11-28,SB130034,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB130034-O1.pdf,0,männlich,unbekannt,betr. Missbrauch DVA,False,True,False,1054694,8,False,False,36,1
9,114,Bezirksgericht Hinwil,2012-12-04,SB130128,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB130128-O1.pdf,0,männlich,unbekannt,betr. Missbrauch DVA,False,False,False,111200,3,False,False,12,0
